Rotation_x , Rotation_y
358.0996,281.472
358.0996,279.2945
358.0996,276.8847
358.0996,274.7317
358.0996,272.2672
358.0996,270.1989
358.0996,267.776
358.0996,265.7326
358.0996,263.347
358.0996,261.2719
358.0996,258.7412
358.0996,256.6573
358.0996,254.2368
358.0996,252.2402
358.0996,249.8293
358.0996,247.7184
358.0996,245.1829
358.0996,243.0414
358.0996,240.735
358.0996,238.7305
358.0996,236.3752
358.0996,234.2991
358.0996,231.8317
358.0996,229.7857
358.0996,227.3686
358.0996,225.3599
358.0996,222.7484
358.0996,220.6709
358.0996,218.2033
358.0996,215.9638
358.0996,213.5773
358.0996,211.5156
358.0996,209.1746
358.0996,207.1022
358.0996,204.638
358.0996,202.5984
358.0996,200.1357
358.0996,198.1446
358.0996,196.0296
358.0996,193.5318
358.0996,191.452
358.0996,188.963
358.0996,186.8399
358.0996,184.2486
358.0996,182.1669
358.0996,179.8286
358.0996,177.7539
358.0996,175.4116
358.0996,173.3207
358.0996,170.8966
358.0996,168.8059
358.0996,165.9102
358.0996,163.1516
358.0996,160.9455
358.0996,158.5364
358.0996,156.4557
358.0996,153.9088
358.0996,151.914
358.0996,149.8119
358.0996,147.4216
358.0996,145.3537
358.0996,142.9062
358.0996,140.8995
358.0996,138.5368
358.0996,136.2361
358.0996,133.7793
358.0996,131.7276
358.0996,129.2785
358.0996,127.1241
358.0996,124.6667
358.0996,122.477
358.0996,119.9116
358.0996,117.8168
358.0996,115.3617
358.0996,113.2408
358.0996,110.8618
358.0996,108.798
358.0996,106.3071
358.0996,104.0875
358.0996,101.5966
358.0996,99.29779
358.0996,96.88016
358.0996,94.71992
358.0996,92.19227
358.0996,90.14281
358.0996,87.61871
358.0996,85.54889
358.0996,83.1497
358.0996,81.04489
358.0996,78.67517
358.0996,76.46832
358.0996,73.98885
358.0996,71.88107
358.0996,69.36271
358.0996,67.23862
358.0996,64.84151
358.0996,62.59316
358.0996,60.16951
358.0996,58.12895
358.0996,55.70681
358.0996,53.68026
358.0996,51.29246
358.0996,49.08126
358.0996,46.48656
358.0996,44.30387
358.0996,41.88884
358.0996,39.79585
358.0996,37.34907
358.0996,35.12323
358.0996,32.6531
358.0996,30.44997
358.0996,27.97577
358.0996,25.88686
358.0996,23.29554
358.0996,21.14544
358.0996,18.65353
358.0996,16.77899
358.0996,15.14925
358.0996,14.16844
358.0996,14.16989
358.0996,14.74383
358.0996,15.95417
358.0996,17.4076
358.0996,19.83049
358.0996,21.66372
358.0996,24.04502
358.0996,26.21346
358.0996,28.44949
358.0996,29.84772
358.0996,30.94892
358.0996,31.45393
358.0996,31.54054
358.0996,31.54054
358.0996,31.54054
358.0996,31.54054
358.0996,31.54054
358.0996,31.54054
358.0996,31.54054
358.0996,31.54054
358.0996,31.54054
358.0996,31.54567
358.0996,31.66718
358.0996,31.73415
358.0996,32.17642
358.0996,33.25359
358.0996,34.60952
358.0996,36.83026
358.0996,38.96445
358.0996,41.36152
358.0996,43.44634
358.0996,45.92448
358.0996,47.96597
358.0996,50.42711
358.0996,52.55064
358.0996,54.93374
358.0996,57.04464
358.0996,59.62506
358.0996,61.73901
358.0996,64.21507
358.0996,66.31515
358.0996,68.88805
358.0996,71.03719
358.0996,73.53556
358.0996,75.70172
358.0996,78.12911
358.0996,80.20712
358.0996,82.71228
358.0996,84.90607
358.0996,87.27622
358.0996,89.29967
358.0996,91.78518
358.0996,93.84829
358.0996,96.34393
358.0996,98.45334
358.0996,101.0479
358.0996,103.1681
358.0996,105.6474
358.0996,107.8046
358.0996,110.1652
358.0996,112.2774
358.0996,114.6974
358.0996,116.9305
358.0996,119.3676
358.0996,121.4723
358.0996,124.1177
358.0996,126.2378
358.0996,128.7062
358.0996,130.7613
358.0996,133.359
358.0996,135.44
358.0996,137.9951
358.0996,140.0634
358.0996,142.4922
358.0996,144.6315
358.0996,147.017
358.0996,149.0609
358.0996,151.5658
358.0996,153.6017
358.0996,156.1681
358.0996,158.2243
358.0996,160.672
358.0996,162.7814
358.0996,165.169
358.0996,167.2984
358.0996,169.7955
358.0996,171.844
358.0996,174.2678
358.0996,176.2489
358.0996,178.705
358.0996,180.8148
358.0996,183.284
358.0996,185.0184
358.0996,186.4926
358.0996,187.6313
358.0996,189.4339
358.0996,191.5068
358.0996,193.6833
358.0996,195.1027
358.0996,196.1869
358.0996,196.7115
358.0996,196.8153
358.0996,196.8153
358.0996,196.8153
358.0996,196.8153
358.0996,196.8153
358.0996,196.8153
358.0996,196.8153
358.0996,196.8153
358.0996,196.8153
358.0996,196.8153
358.0996,196.8633
358.0996,197.4311
358.0996,198.362
358.0996,199.6683
358.0996,201.8618
358.0996,203.8553
358.0996,206.2191
358.0996,208.1836
358.0996,210.3899
